I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
13.848267,14.815063,72.660156,72.660568,-11.914673,0.000000,0.000000,0.000000,0.000000,0.000000
9.970093,10.942383,73.437889,73.438690,-7.959595,0.000000,0.000000,0.000000,0.000000,0.000000
5.976563,6.976318,74.174667,74.174049,-3.960571,0.000000,0.000000,0.000000,0.000000,0.000000
1.939087,2.949829,74.869934,74.869949,0.038452,0.000000,0.000000,0.000000,0.000000,0.000000
-2.021484,-1.032715,75.523125,75.522018,3.982544,0.000000,0.000000,0.000000,0.000000,0.000000
-5.971069,-4.971313,76.133743,76.133537,7.976074,0.000000,0.000000,0.000000,0.000000,0.000000
-9.986572,-8.986816,76.701263,76.702110,11.975098,0.000000,0.000000,0.000000,0.000000,0.000000
-13.919678,-12.952881,77.225182,77.225273,15.886230,0.000000,0.000000,0.000000,0.000000,0.000000
-17.863770,-16.869507,77.705093,77.706459,19.846802,0.000000,0.000000,0.000000,0.000000,0.000000
-21.851807,-20.846558,78.140556,78.139397,23.834839,0.000000,0.000000,0.000000,0.000000,0.000000
-25.801392,-24.823608,78.531120,78.529510,27.740479,0.000000,0.000000,0.000000,0.000000,0.000000
-29.657593,-28.701782,78.876465,78.876419,31.591187,0.000000,0.000000,0.000000,0.000000,0.000000
-33.535767,-32.563477,79.176170,79.175850,35.469360,0.000000,0.000000,0.000000,0.000000,0.000000
-37.391968,-36.436157,79.429947,79.431381,39.303589,0.000000,0.000000,0.000000,0.000000,0.000000
-41.193237,-40.248413,79.637482,79.636826,43.077393,0.000000,0.000000,0.000000,0.000000,0.000000
-44.945068,-44.005737,79.798477,79.797760,46.818237,0.000000,0.000000,0.000000,0.000000,0.000000
-48.663940,-47.735596,79.912689,79.913918,50.504150,0.000000,0.000000,0.000000,0.000000,0.000000
-52.311401,-51.405029,79.979874,79.979218,54.124146,0.000000,0.000000,0.000000,0.000000,0.000000
-55.914917,-55.025024,79.999855,79.999298,57.694702,0.000000,0.000000,0.000000,0.000000,0.000000
-59.458008,-58.579102,79.972443,79.972031,61.232300,0.000000,0.000000,0.000000,0.000000,0.000000
-62.995605,-62.111206,79.897507,79.897263,64.747925,0.000000,0.000000,0.000000,0.000000,0.000000
-66.500244,-65.621338,79.774902,79.774872,68.263550,0.000000,0.000000,0.000000,0.000000,0.000000
-70.032349,-69.142456,79.604576,79.604759,71.812134,0.000000,0.000000,0.000000,0.000000,0.000000
-73.591919,-72.702026,79.386436,79.384911,75.371704,0.000000,0.000000,0.000000,0.000000,0.000000
-77.145996,-76.256104,79.120468,79.119186,78.931274,0.000000,0.000000,0.000000,0.000000,0.000000
-80.716553,-79.821167,78.806679,78.807579,82.534790,0.000000,0.000000,0.000000,0.000000,0.000000
-84.369507,-83.446655,78.445076,78.444252,86.215210,0.000000,0.000000,0.000000,0.000000,0.000000
-88.071899,-87.143555,78.035744,78.037064,89.895630,0.000000,0.000000,0.000000,0.000000,0.000000
-91.741333,-90.812988,77.578735,77.578293,93.592529,0.000000,0.000000,0.000000,0.000000,0.000000
-95.465698,-94.526367,77.074188,77.073914,97.371826,0.000000,0.000000,0.000000,0.000000,0.000000
-99.283447,-98.333130,76.522263,76.522095,101.233521,0.000000,0.000000,0.000000,0.000000,0.000000
-103.073730,-102.134399,75.923096,75.922997,104.985352,0.000000,0.000000,0.000000,0.000000,0.000000
-106.869507,-105.930176,75.276939,75.276863,108.786621,0.000000,0.000000,0.000000,0.000000,0.000000
-110.714722,-109.753418,74.584030,74.585823,112.675781,0.000000,0.000000,0.000000,0.000000,0.000000
-114.609375,-113.648071,73.844604,73.844345,116.537476,0.000000,0.000000,0.000000,0.000000,0.000000
